Spreading Love Fighting Cancer Taiwan American Charity Concert, , 洛杉磯台灣會館, 2017-08-06
台北市立交響樂合唱團演出, , 洛杉磯台灣會館, 2017-07-26
太陽花時代座談會, , 洛杉磯台灣會館, 2017-07-10
台灣電影院系列活動 -大稻埕, , 洛杉磯台灣會館, 2017-07-02
大洛杉磯台灣會館6月份園藝講座--芒果培育, , 洛杉磯台灣會館, 2017-06-25
台南市賴清德市長洛杉磯演講「台灣的挑戰與出路」, , 洛杉磯台灣會館, 2017-06-22
大洛杉磯台灣會館手機俱樂部, , 洛杉磯台灣會館, 2017-06-18
大洛杉磯台灣會館台灣學校古典音樂欣賞課, , 洛杉磯台灣會館, 2017-06-11
台灣會館留學生感恩節餐會, , 洛杉磯台灣會館, 2016-11-20
Taiwan Center 2016 Winter Events!, , 洛杉磯台灣會館, 2016-10-29
Taiwanese American Heritage Week Festival 2016, , 洛杉磯台灣會館, 2016-05-15
2015董事長樂團北美巡演－洛杉磯, , 洛杉磯台灣會館, 2015-09-20
E-Waste Community Service, , 洛杉磯台灣會館, 2015-08-15
e-Waste Community Service, , 洛杉磯台灣會館, 2014-12-06
2014 Thanksgiving Youth And Young Professional  Dinner, , 洛杉磯台灣會館, 2014-11-22
KANO Movie Screening, , 洛杉磯台灣會館, 2014-10-18
2014 Taiwan Center of Greater LA Youth and Young Professional Outreach Networking Mixer With Special Guest Dog G (大支), , 洛杉磯台灣會館, 2014-01-25
Dr. Shi-bang Yang's Presentation about the Dangers of Nuclear Power Generation in Taiwan, , 洛杉磯台灣會館, 2013-09-14
Free e-Waste Collection Service Offered at the Taiwan Center in Rosemead September 7 & 8 2013, , 洛杉磯台灣會館, 2013-09-07
Thanksgiving Dinner @ Taiwan Center 海外台灣留學生共度感恩佳節, , 洛杉磯台灣會館, 2012-11-17
台灣會館年會, , 洛杉磯台灣會館, 2012-10-27
2012傳統週~ 台灣之夜音樂會, , 洛杉磯台灣會館, 2012-06-16
2012 傳統週~ 台美攝影協會攝影展, , 洛杉磯台灣會館, 2012-06-09
2012傳統週~ 美術展覽, , 洛杉磯台灣會館, 2012-06-08
2012傳統週~ 台灣歌樂經典系列展, , 洛杉磯台灣會館, 2012-06-02
2012傳統週~ 台美人藝術家鄉情藝展, , 洛杉磯台灣會館, 2012-06-01
2012傳統週~ 台灣民俗文物展覽, , 洛杉磯台灣會館, 2012-06-01
2012傳統週~ 台灣作曲家音樂會, , 洛杉磯台灣會館, 2012-05-26
2012傳統週~ 園遊會, , 洛杉磯台灣會館, 2012-05-20
2012傳統週~ 母親的歌, , 洛杉磯台灣會館, 2012-05-19
2012傳統週~ 台灣杯卡拉OK比賽 (頒獎), , 洛杉磯台灣會館, 2012-05-19
2012傳統週 ~ 台美人文創作回顧, , 洛杉磯台灣會館, 2012-05-19
2012 傳統週~ 台灣學校春季班成果展, , 洛杉磯台灣會館, 2012-05-12
2012傳統週~ 台灣杯卡拉OK比賽 (複賽), , 洛杉磯台灣會館, 2012-05-12
2012傳統週~ 醫師義診, , 洛杉磯台灣會館, 2012-05-06
2012傳統週~ 台灣杯乒乓球比賽 (決賽), , 洛杉磯台灣會館, 2012-04-29
2012傳統週~ 牽咱e手 電影欣賞, , 洛杉磯台灣會館, 2012-04-29
2012傳統週~ 台灣盃卡拉OK比賽 (初賽), , 洛杉磯台灣會館, 2012-04-28
2012傳統週~ 清掃洛杉磯河, , 洛杉磯台灣會館, 2012-04-28
2012傳統週~ 台灣盃乒乓球賽 (初賽), , 洛杉磯台灣會館, 2012-04-22
2012 傳統週~ 台灣會館卡拉OK龍女龍兄日本歌曲對抗賽, , 洛杉磯台灣會館, 2012-04-21
美國台灣人獅子會 2012 台語客語童謠歌唱大賽, , 洛杉磯台灣會館, 2012-03-17
台美人典範 ‧ 王桂榮先生追思會, , 洛杉磯台灣會館, 2012-03-17
2012傳統週~ 作文比賽, , 洛杉磯台灣會館, 2012-03-15
廢電器回收, , 洛杉磯台灣會館, 2012-03-10
台灣會館慶祝元宵暨台灣學校成果展, , 洛杉磯台灣會館, 2012-02-04
